件数,医療機関コード,医療機関名,住所,市町村,電話番号,医師名,診療科目,診療時間_午前,診療時間_午後,月,火,水,木,金,土,日,祝日,休診日_1,休診日_2,休診日_3,オンライン診療,夜間診療,特徴,MAP
1,01-15184 ,角田医院,〒770－8041徳島市上八万町西山６９５,徳島市,088-644-2122,角田　悦男,小児科,9:00~12:00,14:00~20:00(18:30),1,1,1,1,1,1,0,0,日・祝,0,0,0,0,平日午後は18:30で終了することがあります。,"https://www.google.com/maps/place/%E3%80%92770-8041+%E5%BE%B3%E5%B3%B6%E7%9C%8C%E5%BE%B3%E5%B3%B6%E5%B8%82%E4%B8%8A%E5%85%AB%E4%B8%87%E7%94%BA%E8%A5%BF%E5%B1%B1%EF%BC%96%EF%BC%99%EF%BC%95+%E8%A7%92%E7%94%B0%E5%8C%BB%E9%99%A2/@34.0309542,134.4884915,17z/data=!3m1!4b1!4m6!3m5!1s0x35530c6bcbf543d5:0x206aea77a344040a!8m2!3d34.0309498!4d134.4910664!16s%2Fg%2F11fx58ys8b?entry=ttu"
2,01-15218 ,井上内科胃腸科,〒770－0868徳島市福島１丁目３番４０号,徳島市,088-625-0181,井上　庄二,小児科,9:00~13:00,14:00~18:00,1,1,1,1,1,1,1,0,祝,日（午後）,0,0,0,英語での対応可能です。（※日常会話レベル）,"https://www.google.com/maps/place/%E4%BA%95%E4%B8%8A%E5%86%85%E7%A7%91%E8%83%83%E8%85%B8%E7%A7%91/@34.069434,134.563396,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d694170be73:0x96d93c04f86542a9!8m2!3d34.069434!4d134.563396!16s%2Fg%2F1tdx6jj3?entry=ttu"
3,01-15473 ,北前川診療所,〒770－0806徳島市北前川町３丁目１７－２－２２－２３,徳島市,088-623-3801,近藤　千鶴子,小児科,9:00~13:00,15:00~18:00,1,1,1,1,1,1,0,0,日・祝,水・土（午後）,0,0,0,在宅診療していただけます。,"https://www.google.com/maps/place/%E5%8C%97%E5%89%8D%E5%B7%9D%E8%A8%BA%E7%99%82%E6%89%80/@34.081263,134.553257,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d7cf04f21bb:0x28cd418e780d1a5!8m2!3d34.081263!4d134.553257!16s%2Fg%2F1tdmh92v?entry=ttu"
4,01-15689 ,和田内科循環器科,〒770－0937徳島市富田橋５丁目３０番地２,徳島市,088-654-7280,和田　泰男,小児科,9:00~12:30,14:30~18:30,1,1,1,1,1,1,0,0,日・祝,木・土（午後）,0,0,0,マイナンバーカード保険証利用可能。,"https://www.google.com/maps/place/%E5%92%8C%E7%94%B0%E5%86%85%E7%A7%91/@34.0602794,134.5502998,17z/data=!3m1!4b1!4m6!3m5!1s0x355372a9d621a093:0xfde587963dc15a85!8m2!3d34.0602794!4d134.5502998!16s%2Fg%2F1tk88z04?entry=ttu"
5,01-16380 ,ふくや小児科内科,〒770－8074徳島市八万町下福万１４９－９,徳島市,088-668-1633,福家　浩,小児科,9:00~12:00,13:00~19:00,1,1,1,1,1,1,0,0,日・祝,0,0,0,0,土曜も19:00まで診療しています。,"https://www.google.com/maps/place/%E3%81%B5%E3%81%8F%E3%82%84%E5%B0%8F%E5%85%90%E7%A7%91%E5%86%85%E7%A7%91/@34.050619,134.5324458,17z/data=!3m1!4b1!4m6!3m5!1s0x35530d5a5794c201:0x9cfcc60eb1eca695!8m2!3d34.050619!4d134.5324458!16s%2Fg%2F1tg4tnpr?entry=ttu"
6,01-16398 ,中瀬医院,〒770－0937徳島市富田橋１丁目１１番地２,徳島市,088-623-3758,中瀬　勝則,小児科,9:00~12:30,14:00~18:00,1,1,1,1,1,1,0,0,日・祝,土（午後） ,0,0,0,毎週火曜日14時から医師による糖尿病教室、管理栄養士による栄養指導が行われています。,"https://www.google.com/maps/place/%E4%B8%AD%E7%80%AC%E5%8C%BB%E9%99%A2/@34.066582,134.553547,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d5ec6486c83:0xb569380122681811!8m2!3d34.066582!4d134.553547!16s%2Fg%2F1vppqbl0?entry=ttu"
7,01-16547 ,ひうら小児科,〒770－0025徳島市佐古五番町１０－７,徳島市,088-626-2503,日浦　恭一,小児科,9:00~12:30,14:30~18:00,1,1,1,1,1,1,0,0,日・祝,水・土（午後）,0,0,0,佐古駅から西に約710mでアクセスしやすいです。,"https://www.google.com/maps/place/%E3%81%B2%E3%81%86%E3%82%89%E5%B0%8F%E5%85%90%E7%A7%91/@34.078918,134.53109,17z/data=!3m1!4b1!4m6!3m5!1s0x355372c07751f975:0x9092c9340276b742!8m2!3d34.078918!4d134.53109!16s%2Fg%2F1txc4vtl?entry=ttu"
8,01-16703 ,原田医院,〒770－0808徳島市南前川町４丁目４８,徳島市,088-652-3366,原田　和代,小児科,9:00~13:30,15:00~18:00,1,1,1,1,1,1,0,0,日・祝,水（午前）,土（午後） ,0,0,個人の環境や個性を重視した診療を行っていただけます。,"https://www.google.com/maps/place/%E5%8E%9F%E7%94%B0%E5%8C%BB%E9%99%A2/@34.078918,134.53109,14z/data=!4m10!1m2!2m1!1z5Y6f55Sw5Yy76Zmi44CA5b6z5bO2!3m6!1s0x3553729d72ed0d15:0x408059d12a9e6117!8m2!3d34.0796264!4d134.5491247!15sChXljp_nlLDljLvpmaLjgIDlvrPls7aSAQlpbnRlcm5pc3TgAQA!16s%2Fg%2F1tdkpm6f?entry=ttu"
9,01-16752 ,水沼循環器呼吸器内科,〒770－0045徳島市南庄町四丁目２４番－３,徳島市,088-632-8496,水沼　良幸,小児科,9:00~12:00,15:00~18:30,1,1,1,1,1,1,0,0,日・祝,土（午後） ,0,0,0,駐車場が広く車で利用しやすくなっています。,"https://www.google.com/maps/place/%E3%80%92770-0045+%E5%BE%B3%E5%B3%B6%E7%9C%8C%E5%BE%B3%E5%B3%B6%E5%B8%82%E5%8D%97%E5%BA%84%E7%94%BA%EF%BC%94%E4%B8%81%E7%9B%AE%EF%BC%92%EF%BC%94%E2%88%92%EF%BC%93+%E6%B0%B4%E6%B2%BC%E5%BE%AA%E7%92%B0%E5%99%A8%E5%91%BC%E5%90%B8%E5%99%A8%E5%86%85%E7%A7%91/@34.0696976,134.5082021,17z/data=!3m1!4b1!4m6!3m5!1s0x35530cd40c59f5cf:0x828f8149ab5354aa!8m2!3d34.0696976!4d134.5082021!16s%2Fg%2F11g6ytzsbz?entry=ttu"
10,01-16760 ,さこう内科クリニック,〒770－0872徳島市北沖洲二丁目８番２５号,徳島市,088-664-1717,佐光　春信,小児科,9:00~12:00,14:30~19:00,1,1,1,1,1,1,0,0,日・祝,木（午後）,0,0,0,在宅診療していただけます。,"https://www.google.com/maps/place/%E3%81%95%E3%81%93%E3%81%86%E5%86%85%E7%A7%91%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.069773,134.588235,17z/data=!3m1!4b1!4m6!3m5!1s0x35536cfe2f1bf715:0x81cbd2a76a90b27e!8m2!3d34.069773!4d134.588235!16s%2Fg%2F1tc_c1nn?entry=ttu"
